order_item_id,order_id,product_id,quantity,unit_price
1,1001,101,1,699.00
2,1001,107,1,29.00
3,1002,103,1,259.00
4,1002,108,1,65.00
5,1003,109,1,199.00
6,1004,105,2,35.00
7,1004,111,1,249.00
8,1005,104,1,420.00
9,1006,106,1,180.00
10,1006,105,1,35.00
11,1007,102,1,499.00
12,1007,110,1,89.00
13,1008,109,1,199.00
14,1008,107,2,29.00
15,1009,104,1,420.00
16,1009,108,1,65.00
17,1010,103,1,259.00
18,1010,112,1,39.00
19,1011,101,1,699.00
20,1011,111,1,249.00
21,1012,106,1,180.00
22,1012,105,2,35.00
23,1013,110,2,89.00
24,1013,108,1,65.00
25,1014,102,1,499.00
26,1015,109,1,199.00
27,1015,107,1,29.00
28,1015,112,1,39.00
